HasRFID,MembershipTypeName,AllAccounts,Activated1,Not_Activated2,NewAccounts2,RenewedAccounts2,LapsedAccounts2
Casual,24 Hour Kiosk,"107,655","107,650",6,"11,500",64,"10,722"
Casual,Single Use Pass,"140,211","140,211",0,0,0,0
Casual,24 Hour Pass,"5,750","4,453","1,343",884,0,618
Member,Fall Student/Staff Membership,306,306,0,1,0,0
Member,Spring Student/Staff Membership,342,342,0,1,0,0
Member,Student Membership Spring Semester,33,33,0,0,0,0
Member,Annual Membership,"2,552","2,552",3,789,27,7
Member,Monthly Membership,"13,583","12,898",953,146,0,90
Member,Student Summer Membership,97,97,0,0,0,0

New Accounts_label,New Accounts_Chart1_CategoryGroup_label,New Accounts_Chart1_CategoryGroup_Value_Y,Renewed Accounts_label,Renewed Accounts_Chart1_CategoryGroup_Value_Y
New Accounts,24 Hour Kiosk,11500,Renewed Accounts,64
New Accounts,24 Hour Pass,884,Renewed Accounts,0
New Accounts,Annual Membership,789,Renewed Accounts,27
New Accounts,Fall Student/Staff Membership,1,Renewed Accounts,0
New Accounts,Monthly Membership,146,Renewed Accounts,0
New Accounts,Single Use Pass,0,Renewed Accounts,0
New Accounts,Spring Student/Staff Membership,1,Renewed Accounts,0
New Accounts,Student Membership Spring Semester,0,Renewed Accounts,0
New Accounts,Student Summer Membership,0,Renewed Accounts,0

