HasRFID,MembershipTypeName,AllAccounts,Activated1,Not_Activated2,NewAccounts2,RenewedAccounts2,LapsedAccounts2
Casual,24 Hour Kiosk,"107,655","107,650",6,"34,320","1,355","33,051"
Casual,Single Use Pass,"140,211","140,211",0,"1,279",0,0
Casual,24 Hour Pass,"5,750","4,453","1,343","1,296",37,981
Member,Fall Student/Staff Membership,306,306,0,3,0,0
Member,Spring Student/Staff Membership,342,342,0,3,0,0
Member,Student Membership Spring Semester,33,33,0,1,0,0
Member,Annual Membership,"2,552","2,552",3,231,254,152
Member,Monthly Membership,"13,583","12,898",953,204,3,89
Member,Student Summer Membership,97,97,0,1,0,0

New Accounts_label,New Accounts_Chart1_CategoryGroup_label,New Accounts_Chart1_CategoryGroup_Value_Y,Renewed Accounts_label,Renewed Accounts_Chart1_CategoryGroup_Value_Y
New Accounts,24 Hour Kiosk,34320,Renewed Accounts,1355
New Accounts,24 Hour Pass,1296,Renewed Accounts,37
New Accounts,Annual Membership,231,Renewed Accounts,254
New Accounts,Fall Student/Staff Membership,3,Renewed Accounts,0
New Accounts,Monthly Membership,204,Renewed Accounts,3
New Accounts,Single Use Pass,1279,Renewed Accounts,0
New Accounts,Spring Student/Staff Membership,3,Renewed Accounts,0
New Accounts,Student Membership Spring Semester,1,Renewed Accounts,0
New Accounts,Student Summer Membership,1,Renewed Accounts,0

