HasRFID,MembershipTypeName,AllAccounts,Activated1,Not_Activated2,NewAccounts2,RenewedAccounts2,LapsedAccounts2
Casual,24 Hour Kiosk,"107,655","107,650",6,0,0,0
Casual,Single Use Pass,"140,211","140,211",0,"50,547","1,019","47,592"
Casual,24 Hour Pass,"5,750","4,453","1,343",0,0,15
Member,Fall Student/Staff Membership,306,306,0,290,16,67
Member,Spring Student/Staff Membership,342,342,0,142,4,1
Member,Student Membership Spring Semester,33,33,0,22,4,33
Member,Annual Membership,"2,552","2,552",3,246,158,75
Member,Monthly Membership,"13,583","12,898",953,"4,604",582,"3,450"
Member,Student Summer Membership,97,97,0,91,6,97

New Accounts_label,New Accounts_Chart1_CategoryGroup_label,New Accounts_Chart1_CategoryGroup_Value_Y,Renewed Accounts_label,Renewed Accounts_Chart1_CategoryGroup_Value_Y
New Accounts,24 Hour Kiosk,0,Renewed Accounts,0
New Accounts,24 Hour Pass,0,Renewed Accounts,0
New Accounts,Annual Membership,246,Renewed Accounts,158
New Accounts,Fall Student/Staff Membership,290,Renewed Accounts,16
New Accounts,Monthly Membership,4604,Renewed Accounts,582
New Accounts,Single Use Pass,50547,Renewed Accounts,1019
New Accounts,Spring Student/Staff Membership,142,Renewed Accounts,4
New Accounts,Student Membership Spring Semester,22,Renewed Accounts,4
New Accounts,Student Summer Membership,91,Renewed Accounts,6

