HasRFID,MembershipTypeName,AllAccounts,Activated1,Not_Activated2,NewAccounts2,RenewedAccounts2,LapsedAccounts2
Casual,24 Hour Kiosk,"107,655","107,650",6,0,0,0
Casual,Single Use Pass,"140,211","140,211",0,"50,448","3,096","50,073"
Casual,24 Hour Pass,"5,750","4,453","1,343",0,0,3
Member,Fall Student/Staff Membership,306,306,0,0,0,238
Member,Spring Student/Staff Membership,342,342,0,187,125,340
Member,Student Membership Spring Semester,33,33,0,0,0,0
Member,Annual Membership,"2,552","2,552",3,453,354,61
Member,Monthly Membership,"13,583","12,898",953,"5,409","1,046","4,503"
Member,Student Summer Membership,97,97,0,0,0,0

New Accounts_label,New Accounts_Chart1_CategoryGroup_label,New Accounts_Chart1_CategoryGroup_Value_Y,Renewed Accounts_label,Renewed Accounts_Chart1_CategoryGroup_Value_Y
New Accounts,24 Hour Kiosk,0,Renewed Accounts,0
New Accounts,24 Hour Pass,0,Renewed Accounts,0
New Accounts,Annual Membership,453,Renewed Accounts,354
New Accounts,Fall Student/Staff Membership,0,Renewed Accounts,0
New Accounts,Monthly Membership,5409,Renewed Accounts,1046
New Accounts,Single Use Pass,50448,Renewed Accounts,3096
New Accounts,Spring Student/Staff Membership,187,Renewed Accounts,125
New Accounts,Student Membership Spring Semester,0,Renewed Accounts,0
New Accounts,Student Summer Membership,0,Renewed Accounts,0

