Membership Type,Last 4 of CC,Transaction Date,Charge/Refund,Fee Category,Fee Type,Charge Amount,Original Charge Date,Original Charge Amount,Refund Amount,Net,Payment Status
Annual Membership,4886,1/1/13,Charge,Usage Fee,,$2.00,,$0.00,$0.00,$2.00,Processed
Annual Membership,2304,1/1/13,Charge,Usage Fee,,$4.00,,$0.00,$0.00,$4.00,Processed
Annual Membership,0626,1/1/13,Charge,Usage Fee,,$12.00,,$0.00,$0.00,$12.00,Processed
24 Hour Kiosk,5890,1/3/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0216,1/4/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0216,1/4/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0216,1/4/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0216,1/4/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0973,1/6/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0973,1/6/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
Annual Membership,1208,1/9/13,Charge,Membership Fee,Annual Membership,$50.00,,$0.00,$0.00,$50.00,Processed
Annual Membership,1208,1/9/13,Charge,Membership Fee,Annual Membership,$50.00,,$0.00,$0.00,$50.00,Processed
Annual Membership,8535,1/9/13,Charge,Membership Fee,Annual Membership,$50.00,,$0.00,$0.00,$50.00,Processed
Annual Membership,3287,1/10/13,Charge,Membership Fee,Annual Membership,$50.00,,$0.00,$0.00,$50.00,Processed
Annual Membership,9208,1/10/13,Charge,Membership Fee,24 Hour Pass,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,3265,1/11/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0108,1/11/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5277,1/12/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9897,1/12/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0782,1/12/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5788,1/13/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6966,1/13/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5045,1/13/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1013,1/13/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,3265,1/13/13,Charge,Usage Fee,,$8.00,,$0.00,$0.00,$8.00,Processed
24 Hour Kiosk,0108,1/13/13,Charge,Usage Fee,,$8.00,,$0.00,$0.00,$8.00,Processed
24 Hour Kiosk,5045,1/15/13,Charge,Usage Fee,,$12.00,,$0.00,$0.00,$12.00,Processed
24 Hour Kiosk,5974,1/15/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8066,1/17/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5829,1/17/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5829,1/17/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2074,1/18/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2553,1/18/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2553,1/18/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
