User ID,Zip,Membership Type,Bike,Checkout Date,Checkout Time,Checkout Kiosk,Checkout Dock,Bike Checkout Method,Return Date,Return Time,Return Kiosk,Return Dock,Distance (Miles),Estimated Carbon Offset (lbs),Estimated Calories Burned,Duration (Minutes),Bike Model,Charge,Adjusted Duration (Minutes),Adjusted Charge
399165,77067,24 Hour Kiosk,144 CRACKED FRAME,3/31/14,10:00 PM,La Branch & Lamar,8,,3/31/14,10:45 PM,La Branch & Lamar,6,6.80,6.46,272,45,BCycle 1.0,$0.00 ,,
399165,77067,24 Hour Kiosk,850 CRACKED FRAME,3/31/14,9:59 PM,La Branch & Lamar,7,,3/31/14,10:45 PM,La Branch & Lamar,1,6.90,6.56,276,46,BCycle 1.0,$0.00 ,,
399165,77067,24 Hour Kiosk,219 CRACKED FRAME,3/31/14,9:59 PM,La Branch & Lamar,2,,3/31/14,10:45 PM,La Branch & Lamar,2,7.10,6.75,284,46,BCycle 1.0,$0.00 ,,
399163,77003,24 Hour Kiosk,844,3/31/14,9:48 PM,Market Square,1,,3/31/14,10:06 PM,1919 Runnels,8,2.70,2.57,108,18,BCycle 1.0,$0.00 ,,
399155,77006,24 Hour Kiosk,872,3/31/14,9:37 PM,Westheimer & Waugh,3,,3/31/14,9:44 PM,Freed Library,2,0.60,0.57,24,7,BCycle 1.0,$0.00 ,,
390263,77584,24 Hour Kiosk,201,3/31/14,9:19 PM,City Hall,3,,3/31/14,9:33 PM,Spotts Park,4,2.10,2.00,84,14,BCycle 1.0,$0.00 ,,
390263,77584,24 Hour Kiosk,184 CRACKED FRAME,3/31/14,9:18 PM,City Hall,1,,3/31/14,9:33 PM,Spotts Park,3,2.10,2.00,84,15,BCycle 1.0,$0.00 ,,
207719,77006,Annual Membership,859 CRACKED FRAME,3/31/14,8:53 PM,Elgin & Smith,3,,3/31/14,9:14 PM,Milam & Webster,1,3.20,3.04,128,21,BCycle 1.0,$0.00 ,,
275008,77019,Annual Membership,231,3/31/14,8:45 PM,Milam & Webster,3,,3/31/14,8:49 PM,West Gray & Baldwin,6,0.50,0.48,20,4,BCycle 1.0,$0.00 ,,
392058,77019,Annual Membership,212,3/31/14,8:45 PM,Milam & Webster,6,,3/31/14,8:49 PM,West Gray & Baldwin,10,0.60,0.57,24,4,BCycle 1.0,$0.00 ,,
388637,77006,24 Hour Kiosk,146 R CRACKED FRAME,3/31/14,8:34 PM,Lamar & Milam,2,,3/31/14,11:05 PM,West Gray & Baldwin,5,18.00,17.10,720,151,BCycle 1.0,$6.00 ,,
