User ID,Zip,Membership Type,Bike,Checkout Date,Checkout Time,Checkout Kiosk,Checkout Dock,Bike Checkout Method,Return Date,Return Time,Return Kiosk,Return Dock,Distance (Miles),Estimated Carbon Offset (lbs),Estimated Calories Burned,Duration (Minutes),Bike Model,Charge,Adjusted Duration (Minutes),Adjusted Charge
325249,77034,Annual Membership,099 CRACKED FRAME,1/31/14,10:41 PM,City Hall,11,,1/31/14,11:26 PM,Spotts Park,2,6.00,5.70,240,45,BCycle 1.0,$0.00 ,,
362171,77089,24 Hour Kiosk,210,1/31/14,10:07 PM,West Gray & Baldwin,7,,1/31/14,11:06 PM,Lamar & Milam,1,8.00,7.60,320,59,BCycle 1.0,$0.00 ,,
314828,77006,Annual Membership,994 CRACKED FRAME,1/31/14,9:58 PM,Westheimer & Waugh,12,,1/31/14,10:04 PM,Freed Library,6,0.90,0.86,36,6,BCycle 1.0,$0.00 ,,
362178,77084,24 Hour Kiosk,268 CRACKED FRAME,1/31/14,9:50 PM,La Branch & Lamar,3,,1/31/14,10:15 PM,La Branch & Lamar,3,5.00,4.75,200,25,BCycle 1.0,$0.00 ,,
362177,77429,24 Hour Kiosk,144 CRACKED FRAME,1/31/14,9:49 PM,La Branch & Lamar,2,,1/31/14,10:15 PM,La Branch & Lamar,1,5.80,5.51,232,26,BCycle 1.0,$0.00 ,,
362161,77017,24 Hour Kiosk,883,1/31/14,9:06 PM,McKinney & Caroline,4,,1/31/14,9:28 PM,Stude Park,10,3.00,2.85,120,22,BCycle 1.0,$0.00 ,,
362162,77005,24 Hour Kiosk,183,1/31/14,9:06 PM,McKinney & Caroline,3,,1/31/14,9:28 PM,Stude Park,11,3.00,2.85,120,22,BCycle 1.0,$0.00 ,,
354184,77063,Annual Membership,805 CRACKED FRAME,1/31/14,8:55 PM,Westheimer & Waugh,5,,1/31/14,9:08 PM,West Gray & Baldwin,11,1.00,0.95,40,13,BCycle 1.0,$0.00 ,,
362161,77017,24 Hour Kiosk,883,1/31/14,8:55 PM,La Branch & Lamar,1,,1/31/14,9:06 PM,McKinney & Caroline,4,1.00,0.95,40,11,BCycle 1.0,$0.00 ,,
362162,77005,24 Hour Kiosk,183,1/31/14,8:54 PM,La Branch & Lamar,9,,1/31/14,9:05 PM,McKinney & Caroline,3,1.00,0.95,40,11,BCycle 1.0,$0.00 ,,
362162,77005,24 Hour Kiosk,300 CRACKED FRAME,1/31/14,8:18 PM,Stude Park,2,,1/31/14,8:53 PM,La Branch & Lamar,6,5.00,4.75,200,35,BCycle 1.0,$0.00 ,,
362161,77017,24 Hour Kiosk,183,1/31/14,8:15 PM,Stude Park,1,,1/31/14,8:53 PM,La Branch & Lamar,9,5.00,4.75,200,38,BCycle 1.0,$0.00 ,,
