User ID,Zip,Membership Type,Bike,Checkout Date,Checkout Time,Checkout Kiosk,Checkout Dock,Bike Checkout Method,Return Date,Return Time,Return Kiosk,Return Dock,Distance (Miles),Estimated Carbon Offset (lbs),Estimated Calories Burned,Duration (Minutes),Bike Model,Charge,Adjusted Duration (Minutes),Adjusted Charge
238128,77489,24 Hour Kiosk,196 G CRACKED FRAME,6/30/13,10:21 PM,Sabine Bridge,1,,6/30/13,11:36 PM,Sabine Bridge,1,11.20,10.64,448,75,BCycle 1.0,$2.00 ,,
267348,,24 Hour Kiosk,268 CRACKED FRAME,6/30/13,9:24 PM,Smith & Capitol,4,,6/30/13,10:56 PM,Smith & Capitol,1,8.40,7.98,336,92,BCycle 1.0,$4.00 ,,
267348,,24 Hour Kiosk,143 CRACKED FRAME,6/30/13,9:23 PM,Smith & Capitol,6,,6/30/13,10:56 PM,Smith & Capitol,5,7.60,7.22,304,93,BCycle 1.0,$4.00 ,,
267348,,24 Hour Kiosk,242 CRACKED FRAME,6/30/13,9:23 PM,Smith & Capitol,3,,6/30/13,10:56 PM,Smith & Capitol,3,14.00,13.30,560,93,BCycle 1.0,$4.00 ,,
267163,,24 Hour Kiosk,270,6/30/13,9:14 PM,Westheimer & Waugh,5,,6/30/13,9:49 PM,Rusk & St. Emanuel,2,4.70,4.47,188,35,BCycle 1.0,$0.00 ,,
267344,77055,24 Hour Pass,182 CRACKED FRAME,6/30/13,9:13 PM,MFAH/Fannin & Binz,2,,6/30/13,9:46 PM,MFAH/Fannin & Binz,2,2.30,2.19,92,33,BCycle 1.0,$0.00 ,,
267163,,24 Hour Kiosk,269 CRACKED FRAME,6/30/13,9:13 PM,Westheimer & Waugh,3,,6/30/13,9:49 PM,Rusk & St. Emanuel,7,4.90,4.66,196,36,BCycle 1.0,$0.00 ,,
257827,,24 Hour Kiosk,251,6/30/13,9:11 PM,Sabine Bridge,4,,6/30/13,9:31 PM,Sabine Bridge,4,3.00,2.85,120,20,BCycle 1.0,$0.00 ,,
257824,,24 Hour Kiosk,862 CRACKED FRAME,6/30/13,9:10 PM,Sabine Bridge,2,,6/30/13,9:31 PM,Sabine Bridge,2,3.20,3.04,128,21,BCycle 1.0,$0.00 ,,
267341,77076,24 Hour Pass,192 HARVEY,6/30/13,9:06 PM,MFAH/Fannin & Binz,1,,6/30/13,9:45 PM,MFAH/Fannin & Binz,1,2.10,2.00,84,39,BCycle 1.0,$0.00 ,,
267329,,24 Hour Kiosk,838,6/30/13,8:37 PM,Hermann Park Lake Plaza (old),5,,6/30/13,9:24 PM,Hermann Park Lake Plaza (old),5,4.50,4.28,180,47,BCycle 1.0,$0.00 ,,
267329,,24 Hour Kiosk,851,6/30/13,8:36 PM,Hermann Park Lake Plaza (old),4,,6/30/13,9:24 PM,Hermann Park Lake Plaza (old),4,7.20,6.84,288,48,BCycle 1.0,$0.00 ,,
253790,,24 Hour Kiosk,805 CRACKED FRAME,6/30/13,8:17 PM,Hermann Park Lake Plaza (old),2,,6/30/13,8:41 PM,Hermann Park Lake Plaza (old),2,3.60,3.42,144,24,BCycle 1.0,$0.00 ,,
253790,,24 Hour Kiosk,870 CRACKED FRAME,6/30/13,8:17 PM,Hermann Park Lake Plaza (old),1,,6/30/13,8:41 PM,Hermann Park Lake Plaza (old),1,3.60,3.42,144,24,BCycle 1.0,$0.00 ,,
159800,,24 Hour Kiosk,265 CRACKED FRAME,6/30/13,7:57 PM,Market Square,7,,6/30/13,8:44 PM,Market Square,7,2.70,2.57,108,47,BCycle 1.0,$0.00 ,,
159800,,24 Hour Kiosk,500 G CRACKED FRAME,6/30/13,7:55 PM,Market Square,8,,6/30/13,8:44 PM,Market Square,8,1.80,1.71,72,49,BCycle 1.0,$0.00 ,,
267314,,24 Hour Kiosk,533 CRACKED FRAME,6/30/13,7:50 PM,McKinney & Caroline,14,,6/30/13,9:08 PM,McKinney & Caroline,1,5.90,5.61,236,78,BCycle 1.0,$2.00 ,,
267312,,24 Hour Kiosk,156,6/30/13,7:47 PM,Market Square,1,,6/30/13,8:41 PM,Market Square,3,8.10,7.70,324,54,BCycle 1.0,$0.00 ,,
267312,,24 Hour Kiosk,222,6/30/13,7:46 PM,Market Square,2,,6/30/13,8:41 PM,Market Square,2,8.20,7.79,328,55,BCycle 1.0,$0.00 ,,
262640,,24 Hour Kiosk,856,6/30/13,7:41 PM,Elgin & Smith,10,,6/30/13,9:33 PM,West Gray & Baldwin,9,0.30,0.29,12,112,BCycle 1.0,,22,$0.00 
262640,,24 Hour Kiosk,147 CRACKED FRAME,6/30/13,7:40 PM,Elgin & Smith,2,,6/30/13,9:39 PM,Elgin & Smith,10,17.80,16.91,712,119,BCycle 1.0,,22,$0.00 
262640,,24 Hour Kiosk,939 CRACKED FRAME,6/30/13,7:40 PM,Elgin & Smith,4,,6/30/13,9:33 PM,West Gray & Baldwin,4,0.60,0.57,24,113,BCycle 1.0,,22,$0.00 
267163,,24 Hour Kiosk,269 CRACKED FRAME,6/30/13,7:35 PM,La Branch & Lamar,4,,6/30/13,8:02 PM,Westheimer & Waugh,3,2.00,1.90,80,27,BCycle 1.0,$0.00 ,,
267163,,24 Hour Kiosk,128 CRACKED FRAME,6/30/13,7:35 PM,La Branch & Lamar,5,,6/30/13,8:01 PM,Westheimer & Waugh,6,2.00,1.90,80,26,BCycle 1.0,$0.00 ,,
267304,,24 Hour Kiosk,943,6/30/13,7:35 PM,Z Milam & Capitol,5,,6/30/13,8:52 PM,Z Milam & Capitol,5,4.70,4.47,188,77,BCycle 1.0,$2.00 ,,
267301,,24 Hour Kiosk,219 CRACKED FRAME,6/30/13,7:33 PM,Z Milam & Capitol,8,,6/30/13,8:51 PM,Z Milam & Capitol,8,4.10,3.90,164,78,BCycle 1.0,$2.00 ,,
267299,,24 Hour Kiosk,315,6/30/13,7:32 PM,Z Milam & Capitol,4,,6/30/13,8:53 PM,Z Milam & Capitol,1,12.20,11.59,488,81,BCycle 1.0,$2.00 ,,
222764,77002,Annual Membership,305 CRACKED FRAME,6/30/13,7:29 PM,Main & Dallas,11,,6/30/13,7:36 PM,Main & Dallas,4,1.00,0.95,40,7,BCycle 1.0,$0.00 ,,
226351,77098,Annual Membership,252,6/30/13,7:29 PM,Main & Dallas,9,,6/30/13,7:37 PM,Main & Dallas,8,1.20,1.14,48,8,BCycle 1.0,$0.00 ,,
267292,,24 Hour Kiosk,105 CRACKED FRAME,6/30/13,7:24 PM,West Gray & Baldwin,8,,6/30/13,9:39 PM,Elgin & Smith,9,1.20,1.14,48,135,BCycle 1.0,$6.00 ,,
267291,,24 Hour Kiosk,413 CRACKED FRAME,6/30/13,7:21 PM,Hermann Park Lake Plaza (old),4,,6/30/13,11:50 PM,MFAH/Fannin & Binz,12,6.30,5.99,252,269,BCycle 1.0,$14.00 ,,
262636,,24 Hour Kiosk,981 CRACKED FRAME,6/30/13,7:21 PM,West Gray & Baldwin,11,,6/30/13,9:39 PM,Elgin & Smith,7,0.30,0.29,12,138,BCycle 1.0,,100,$4.00 
267291,,24 Hour Kiosk,878,6/30/13,7:21 PM,Hermann Park Lake Plaza (old),3,,6/30/13,11:50 PM,MFAH/Fannin & Binz,7,1.20,1.14,48,269,BCycle 1.0,$14.00 ,,
267289,,24 Hour Kiosk,841,6/30/13,7:18 PM,West Gray & Baldwin,10,,6/30/13,9:43 PM,West Gray & Baldwin,2,1.50,1.43,60,145,BCycle 1.0,,59,$0.00 
262638,,24 Hour Kiosk,215 CRACKED FRAME,6/30/13,7:18 PM,West Gray & Baldwin,8,,6/30/13,8:35 PM,West Gray & Baldwin,8,11.60,11.02,464,77,BCycle 1.0,$2.00 ,,
