User ID,Zip,Membership Type,Bike,Checkout Date,Checkout Time,Checkout Kiosk,Checkout Dock,Bike Checkout Method,Return Date,Return Time,Return Kiosk,Return Dock,Distance (Miles),Estimated Carbon Offset (lbs),Estimated Calories Burned,Duration (Minutes),Bike Model,Charge,Adjusted Duration (Minutes),Adjusted Charge
457169,70068,24 Hour Kiosk,219 CRACKED FRAME,5/31/14,10:59 PM,Clay & Smith,10,,5/31/14,10:59 PM,Clay & Smith,10,0.00,0.00,0,0,BCycle 1.0,$0.00 ,,
322773,77006,24 Hour Kiosk,210,5/31/14,10:54 PM,City Hall,4,,5/31/14,11:15 PM,Taft & Fairview,9,3.20,3.04,128,21,BCycle 1.0,$0.00 ,,
322773,77006,24 Hour Kiosk,315,5/31/14,10:54 PM,City Hall,3,,5/31/14,11:25 PM,West Gray & Baldwin,7,4.60,4.37,184,31,BCycle 1.0,$0.00 ,,
457928,75885,24 Hour Kiosk,270,5/31/14,10:53 PM,Lamar & Milam,6,,5/31/14,10:59 PM,La Branch & Lamar,1,0.90,0.86,36,6,BCycle 1.0,$0.00 ,,
457928,75885,24 Hour Kiosk,212,5/31/14,10:52 PM,Lamar & Milam,2,,5/31/14,10:59 PM,La Branch & Lamar,2,1.00,0.95,40,7,BCycle 1.0,$0.00 ,,
458419,77056,24 Hour Kiosk,380,5/31/14,10:51 PM,Sabine Bridge,5,,5/31/14,11:09 PM,Sabine Bridge,5,2.70,2.57,108,18,BCycle 1.0,$0.00 ,,
458420,77040,24 Hour Kiosk,805 CRACKED FRAME,5/31/14,10:50 PM,La Branch & Lamar,2,,5/31/14,11:53 PM,La Branch & Lamar,9,9.40,8.93,376,63,BCycle 1.0,$0.00 ,,
458419,77056,24 Hour Kiosk,531 HARVEY,5/31/14,10:50 PM,Sabine Bridge,3,,5/31/14,11:09 PM,Sabine Bridge,3,2.80,2.66,112,19,BCycle 1.0,$0.00 ,,
458416,77082,24 Hour Kiosk,347 CRACKED FRAME,5/31/14,10:49 PM,La Branch & Lamar,1,,5/31/14,11:52 PM,La Branch & Lamar,11,0.90,0.86,36,63,BCycle 1.0,$0.00 ,,
208272,77042,Annual Membership,226,5/31/14,10:46 PM,City Hall,1,,5/31/14,11:11 PM,Stude Park,10,2.60,2.47,104,25,BCycle 1.0,$0.00 ,,
458405,77007,24 Hour Kiosk,242 CRACKED FRAME,5/31/14,10:41 PM,Spotts Park,1,,5/31/14,11:02 PM,Spotts Park,1,3.20,3.04,128,21,BCycle 1.0,$0.00 ,,
458405,77007,24 Hour Kiosk,148 R CRACKED FRAME,5/31/14,10:40 PM,Spotts Park,3,,5/31/14,11:02 PM,Spotts Park,3,3.30,3.14,132,22,BCycle 1.0,$0.00 ,,
458341,77046,24 Hour Kiosk,828,5/31/14,10:39 PM,Spotts Park,4,,5/31/14,11:34 PM,Stude Park,4,7.00,6.65,280,55,BCycle 1.0,$0.00 ,,
457742,77003,24 Hour Kiosk,533 CRACKED FRAME,5/31/14,10:30 PM,Lamar & Milam,7,,5/31/14,10:38 PM,Rusk & St. Emanuel,9,1.00,0.95,40,8,BCycle 1.0,$0.00 ,,
385955,77077,Annual Membership,168 CRACKED FRAME,5/31/14,10:19 PM,Smith & Capitol,10,,5/31/14,10:28 PM,UHD/Main & Franklin,8,1.40,1.33,56,9,BCycle 1.0,$0.00 ,,
393907,77002,Annual Membership,264 CRACKED FRAME,5/31/14,10:19 PM,Smith & Capitol,8,,5/31/14,10:28 PM,UHD/Main & Franklin,6,1.40,1.33,56,9,BCycle 1.0,$0.00 ,,
