User ID,Zip,Membership Type,Bike,Checkout Date,Checkout Time,Checkout Kiosk,Checkout Dock,Bike Checkout Method,Return Date,Return Time,Return Kiosk,Return Dock,Distance (Miles),Estimated Carbon Offset (lbs),Estimated Calories Burned,Duration (Minutes),Bike Model,Charge,Adjusted Duration (Minutes),Adjusted Charge
272111,77002,Annual Membership,946 CRACKED FRAME,10/31/13,10:32 PM,West Gray & Baldwin,8,,10/31/13,10:40 PM,Tellepsen YMCA,5,1.00,0.95,40,8,BCycle 1.0,$0.00 ,,
336807,77093,24 Hour Kiosk,219 CRACKED FRAME,10/31/13,9:46 PM,Market Square,4,,10/31/13,10:13 PM,Market Square,4,1.90,1.81,76,27,BCycle 1.0,$0.00 ,,
336807,77093,24 Hour Kiosk,133 CRACKED FRAME,10/31/13,9:45 PM,Market Square,1,,10/31/13,10:13 PM,Market Square,8,4.50,4.28,180,28,BCycle 1.0,$0.00 ,,
225628,77019,Annual Membership,853 CRACKED FRAME,10/31/13,9:39 PM,Rusk & St. Emanuel,5,,10/31/13,9:43 PM,La Branch & Lamar,2,0.50,0.48,20,4,BCycle 1.0,$0.00 ,,
336804,77073,24 Hour Kiosk,264 CRACKED FRAME,10/31/13,9:36 PM,Lamar & Crawford,2,,10/31/13,10:46 PM,Lamar & Crawford,3,2.60,2.47,104,70,BCycle 1.0,$2.00 ,,
336803,77038,24 Hour Kiosk,188 CRACKED FRAME,10/31/13,9:35 PM,Lamar & Crawford,10,,10/31/13,10:46 PM,Lamar & Crawford,2,4.20,3.99,168,71,BCycle 1.0,$2.00 ,,
208035,77002,Annual Membership,878,10/31/13,9:34 PM,Rusk & St. Emanuel,2,,10/31/13,9:39 PM,McKinney & Caroline,15,0.50,0.48,20,5,BCycle 1.0,$0.00 ,,
336802,77038,24 Hour Kiosk,502 CRACKED FRAME,10/31/13,9:32 PM,Lamar & Crawford,5,,10/31/13,10:46 PM,Lamar & Crawford,4,4.40,4.18,176,74,BCycle 1.0,$2.00 ,,
336802,77038,24 Hour Kiosk,159 CRACKED FRAME,10/31/13,9:31 PM,Lamar & Crawford,4,,10/31/13,10:46 PM,Lamar & Crawford,10,11.00,10.45,440,75,BCycle 1.0,$2.00 ,,
336795,77050,24 Hour Kiosk,219 CRACKED FRAME,10/31/13,8:03 PM,McKinney & Caroline,2,,10/31/13,8:33 PM,Market Square,4,3.80,3.61,152,30,BCycle 1.0,$0.00 ,,
336795,77050,24 Hour Kiosk,133 CRACKED FRAME,10/31/13,8:00 PM,McKinney & Caroline,4,,10/31/13,8:33 PM,Market Square,1,1.20,1.14,48,33,BCycle 1.0,$0.00 ,,
272111,77002,Annual Membership,535 CRACKED FRAME,10/31/13,7:36 PM,Main & Dallas,10,,10/31/13,7:41 PM,UHD/Main & Franklin,1,0.80,0.76,32,5,BCycle 1.0,$0.00 ,,
225628,77019,Annual Membership,878,10/31/13,7:25 PM,La Branch & Lamar,9,,10/31/13,7:28 PM,Rusk & St. Emanuel,2,0.40,0.38,16,3,BCycle 1.0,$0.00 ,,
205152,77429,Annual Membership,148 R CRACKED FRAME,10/31/13,7:08 PM,McKinney & Caroline,3,,10/31/13,7:10 PM,Lamar & Milam,6,0.30,0.29,12,2,BCycle 1.0,$0.00 ,,
336786,77009,24 Hour Kiosk,884 CRACKED FRAME,10/31/13,7:04 PM,La Branch & Lamar,8,,10/31/13,8:02 PM,La Branch & Lamar,7,8.00,7.60,320,58,BCycle 1.0,$0.00 ,,
336786,77009,24 Hour Kiosk,263 R2 CRACKED FRAME,10/31/13,7:04 PM,La Branch & Lamar,7,,10/31/13,8:01 PM,La Branch & Lamar,1,8.00,7.60,320,57,BCycle 1.0,$0.00 ,,
336786,77009,24 Hour Kiosk,167,10/31/13,7:03 PM,La Branch & Lamar,3,,10/31/13,8:02 PM,La Branch & Lamar,4,8.00,7.60,320,59,BCycle 1.0,$0.00 ,,
336786,77009,24 Hour Kiosk,141 CRACKED FRAME,10/31/13,7:02 PM,La Branch & Lamar,2,,10/31/13,8:02 PM,La Branch & Lamar,8,9.00,8.55,360,60,BCycle 1.0,$0.00 ,,
234956,,Not Applicable,877 CRACKED FRAME,10/31/13,6:54 PM,Lamar & Milam,2,,10/31/13,7:18 PM,Tellepsen YMCA,6,3.00,2.85,120,24,BCycle 1.0,$0.00 ,,
234956,,Not Applicable,116 CRACKED FRAME,10/31/13,6:54 PM,Lamar & Milam,6,,10/31/13,7:19 PM,Tellepsen YMCA,4,3.00,2.85,120,25,BCycle 1.0,$0.00 ,,
234956,,Not Applicable,148 R CRACKED FRAME,10/31/13,6:43 PM,Milam & Webster,11,,10/31/13,7:01 PM,McKinney & Caroline,3,2.00,1.90,80,18,BCycle 1.0,$0.00 ,,
234956,,Not Applicable,219 CRACKED FRAME,10/31/13,6:43 PM,Milam & Webster,7,,10/31/13,7:08 PM,McKinney & Caroline,2,3.00,2.85,120,25,BCycle 1.0,$0.00 ,,
215964,,24 Hour Kiosk,226,10/31/13,6:38 PM,Hermann Park Lake Plaza (old),6,,10/31/13,7:05 PM,Hermann Park Lake Plaza (old),3,4.00,3.80,160,27,BCycle 1.0,$0.00 ,,
336777,77054,24 Hour Kiosk,231,10/31/13,6:37 PM,Hermann Park Lake Plaza (old),1,,10/31/13,7:04 PM,Hermann Park Lake Plaza (old),1,2.70,2.57,108,27,BCycle 1.0,$0.00 ,,
336776,77396,24 Hour Kiosk,024 G,10/31/13,6:36 PM,McKinney & Caroline,3,,10/31/13,7:24 PM,McKinney & Caroline,3,0.70,0.67,28,48,BCycle 1.0,$0.00 ,,
336776,77396,24 Hour Kiosk,532,10/31/13,6:36 PM,McKinney & Caroline,1,,10/31/13,7:24 PM,McKinney & Caroline,1,7.00,6.65,280,48,BCycle 1.0,$0.00 ,,
269605,77003,Annual Membership,838,10/31/13,6:22 PM,Rusk & St. Emanuel,9,,10/31/13,6:25 PM,Rusk & St. Emanuel,8,0.40,0.38,16,3,BCycle 1.0,$0.00 ,,
332692,77003,Annual Membership,194,10/31/13,6:21 PM,Rusk & St. Emanuel,2,,10/31/13,6:32 PM,Smith & Capitol,1,1.00,0.95,40,11,BCycle 1.0,$0.00 ,,
332696,77003,Annual Membership,821,10/31/13,6:21 PM,Rusk & St. Emanuel,4,,10/31/13,6:32 PM,Smith & Capitol,4,1.40,1.33,56,11,BCycle 1.0,$0.00 ,,
332692,77003,Annual Membership,194,10/31/13,6:20 PM,Rusk & St. Emanuel,2,,10/31/13,6:20 PM,Rusk & St. Emanuel,2,0.00,0.00,0,0,BCycle 1.0,$0.00 ,,
251053,78229,24 Hour Pass,853 CRACKED FRAME,10/31/13,5:59 PM,UHD/Main & Franklin,5,,10/31/13,6:47 PM,Rusk & St. Emanuel,5,1.00,0.95,40,48,BCycle 1.0,$0.00 ,,
234956,,Not Applicable,826,10/31/13,5:56 PM,Freed Library,7,,10/31/13,6:00 PM,Freed Library,7,0.60,0.57,24,4,BCycle 1.0,$0.00 ,,
336754,77019,Annual Membership,940,10/31/13,5:56 PM,West Gray & Baldwin,8,,10/31/13,6:09 PM,Milam & Webster,1,1.00,0.95,40,13,BCycle 1.0,$0.00 ,,
321306,77019,Annual Membership,882,10/31/13,5:56 PM,West Gray & Baldwin,7,,10/31/13,6:09 PM,Milam & Webster,4,0.70,0.67,28,13,BCycle 1.0,$0.00 ,,
336755,77033,24 Hour Pass,827 CRACKED FRAME,10/31/13,5:54 PM,Market Square,4,,10/31/13,11:05 PM,METRO Transit Center,9,7.10,6.75,284,311,BCycle 1.0,,59,$0.00 
234956,,Not Applicable,826,10/31/13,5:53 PM,Freed Library,7,,10/31/13,5:56 PM,Freed Library,7,0.40,0.38,16,3,BCycle 1.0,$0.00 ,,
234956,,Not Applicable,826,10/31/13,5:53 PM,Freed Library,7,,10/31/13,5:53 PM,Freed Library,7,0.00,0.00,0,0,BCycle 1.0,$0.00 ,,
234956,,Not Applicable,850 CRACKED FRAME,10/31/13,5:53 PM,Freed Library,5,,10/31/13,5:56 PM,Freed Library,5,0.40,0.38,16,3,BCycle 1.0,$0.00 ,,
234956,,Not Applicable,826,10/31/13,5:52 PM,Freed Library,7,,10/31/13,5:53 PM,Freed Library,7,0.20,0.19,8,1,BCycle 1.0,$0.00 ,,
336756,,24 Hour Kiosk,989 CRACKED FRAME,10/31/13,5:52 PM,Market Square,2,,10/31/13,7:34 PM,METRO Transit Center,7,15.00,14.25,600,102,BCycle 1.0,$4.00 ,,
208132,77027,Annual Membership,952 CRACKED FRAME,10/31/13,5:43 PM,Lamar & Milam,5,,10/31/13,5:49 PM,Market Square,10,0.90,0.86,36,6,BCycle 1.0,$0.00 ,,
123418,77064,Annual Membership,242 CRACKED FRAME,10/31/13,5:38 PM,Main & Dallas,13,,10/31/13,5:41 PM,Lamar & Milam,7,0.40,0.38,16,3,BCycle 1.0,$0.00 ,,
234956,,Not Applicable,252,10/31/13,5:38 PM,Elgin & Smith,5,,10/31/13,5:38 PM,Elgin & Smith,5,0.00,0.00,0,0,BCycle 1.0,$0.00 ,,
123418,77064,Annual Membership,242 CRACKED FRAME,10/31/13,5:38 PM,Main & Dallas,13,,10/31/13,5:38 PM,Main & Dallas,13,0.00,0.00,0,0,BCycle 1.0,$0.00 ,,
248746,77002,Annual Membership,946 CRACKED FRAME,10/31/13,5:33 PM,West Gray & Baldwin,9,,10/31/13,6:19 PM,West Gray & Baldwin,8,5.90,5.61,236,46,BCycle 1.0,$0.00 ,,
216063,77381,Annual Membership,269 CRACKED FRAME,10/31/13,5:12 PM,Main & Dallas,7,,10/31/13,5:14 PM,Lamar & Milam,10,0.30,0.29,12,2,BCycle 1.0,$0.00 ,,
232777,77010,Annual Membership,167,10/31/13,5:12 PM,UHD/Main & Franklin,10,,10/31/13,5:20 PM,La Branch & Lamar,3,0.70,0.67,28,8,BCycle 1.0,$0.00 ,,
327524,77015,24 Hour Kiosk,201,10/31/13,5:06 PM,Ensemble/HCC Station,6,,10/31/13,5:48 PM,Ensemble/HCC Station,6,2.90,2.76,116,42,BCycle 1.0,$0.00 ,,
224817,77007,Annual Membership,420 CRACKED FRAME,10/31/13,4:44 PM,Smith & Capitol,14,,10/31/13,4:56 PM,West Gray & Baldwin,4,1.00,0.95,40,12,BCycle 1.0,$0.00 ,,
234956,,Not Applicable,279 CRACKED FRAME,10/31/13,4:43 PM,METRO Transit Center,5,,10/31/13,4:43 PM,METRO Transit Center,6,0.00,0.00,0,0,BCycle 1.0,$0.00 ,,
316122,77026,Annual Membership,197,10/31/13,4:22 PM,Milam & Webster,2,,10/31/13,4:32 PM,Smith & Capitol,11,1.00,0.95,40,10,BCycle 1.0,$0.00 ,,
321306,77019,Annual Membership,882,10/31/13,4:21 PM,Tellepsen YMCA,5,,10/31/13,5:55 PM,West Gray & Baldwin,7,1.70,1.62,68,94,BCycle 1.0,$0.00 ,,
234956,,Not Applicable,024 G,10/31/13,4:14 PM,McKinney & Caroline,3,,10/31/13,4:16 PM,McKinney & Caroline,3,0.30,0.29,12,2,BCycle 1.0,$0.00 ,,
237361,77441,Annual Membership,200,10/31/13,4:13 PM,La Branch & Lamar,3,,10/31/13,4:19 PM,Lamar & Milam,4,0.90,0.86,36,6,BCycle 1.0,$0.00 ,,
234956,,Not Applicable,853 CRACKED FRAME,10/31/13,3:44 PM,Smith & Capitol,1,,10/31/13,5:12 PM,UHD/Main & Franklin,5,13.00,12.35,520,88,BCycle 1.0,$0.00 ,,
216063,77381,Annual Membership,180 CRACKED FRAME,10/31/13,3:38 PM,Lamar & Milam,7,,10/31/13,3:40 PM,Main & Dallas,11,0.30,0.29,12,2,BCycle 1.0,$0.00 ,,
216063,77381,Annual Membership,180 CRACKED FRAME,10/31/13,3:33 PM,Main & Dallas,2,,10/31/13,3:36 PM,Lamar & Milam,7,0.40,0.38,16,3,BCycle 1.0,$0.00 ,,
215938,77025,Annual Membership,828,10/31/13,2:26 PM,Lamar & Crawford,8,,10/31/13,2:39 PM,Main & Dallas,8,1.00,0.95,40,13,BCycle 1.0,$0.00 ,,
323954,77386,Annual Membership,269 CRACKED FRAME,10/31/13,1:44 PM,Tellepsen YMCA,10,,10/31/13,1:46 PM,Main & Dallas,7,0.30,0.29,12,2,BCycle 1.0,$0.00 ,,
224817,77007,Annual Membership,535 R2,10/31/13,12:41 PM,West Gray & Baldwin,7,,10/31/13,3:44 PM,Smith & Capitol,8,1.70,1.62,68,183,BCycle 1.0,,59,$0.00 
124867,77010,Annual Membership,266,10/31/13,12:41 PM,Market Square,10,,10/31/13,4:13 PM,McKinney & Caroline,13,18.00,17.10,720,212,BCycle 1.0,,59,$0.00 
321306,77019,Annual Membership,234 CRACKED FRAME,10/31/13,6:59 AM,West Gray & Baldwin,4,,10/31/13,7:04 AM,Tellepsen YMCA,2,0.80,0.76,32,5,BCycle 1.0,$0.00 ,,
309334,77006,Annual Membership,858 CRACKED FRAME,10/30/13,9:38 PM,Main & Dallas,7,,10/30/13,9:38 PM,West Gray & Baldwin,1,0.00,0.00,0,0,BCycle 1.0,$0.00 ,,
252792,77002,Annual Membership,532,10/30/13,7:37 PM,UHD/Main & Franklin,1,,10/30/13,7:42 PM,McKinney & Caroline,1,0.80,0.76,32,5,BCycle 1.0,$0.00 ,,
